Date,Value,Series,labels
2005-05-01T00:00:00,6.6,15 to 24 years,2005-05-01T00:00:00
2005-06-01T00:00:00,7.5,15 to 24 years,2005-06-01T00:00:00
2005-07-01T00:00:00,5.5,15 to 24 years,2005-07-01T00:00:00
2005-08-01T00:00:00,6.1,15 to 24 years,2005-08-01T00:00:00
2005-09-01T00:00:00,7.6,15 to 24 years,2005-09-01T00:00:00
2005-10-01T00:00:00,7.3,15 to 24 years,2005-10-01T00:00:00
2005-11-01T00:00:00,7.7,15 to 24 years,2005-11-01T00:00:00
2005-12-01T00:00:00,7.9,15 to 24 years,2005-12-01T00:00:00
2006-01-01T00:00:00,8,15 to 24 years,2006-01-01T00:00:00
2006-02-01T00:00:00,6,15 to 24 years,2006-02-01T00:00:00
2006-03-01T00:00:00,6.1,15 to 24 years,2006-03-01T00:00:00
2006-04-01T00:00:00,6.4,15 to 24 years,2006-04-01T00:00:00
2006-05-01T00:00:00,7.2,15 to 24 years,2006-05-01T00:00:00
2006-06-01T00:00:00,6.6,15 to 24 years,2006-06-01T00:00:00
2006-07-01T00:00:00,7.9,15 to 24 years,2006-07-01T00:00:00
